EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	17:18:04	0	0.0000	2.147303970392599	0.0	0.0	0.0	0.0	0.0
2	17:18:17	1	0.0000	0.5562737806471761	0.0	0.0	0.0	0.0	0.0
3	17:18:29	2	0.0000	0.41317293700240004	0.0	0.0	0.0	0.0	0.0
